DeviceAddress,Nome,MAC,TAG,LAT,LONG,Grupo,Modelo
000AF606,Luminaria,5C-CF-7F-0A-F6-06,L539,-29.6717636,-51.09218923,Grupo 1,0,HDA-01
0006E690,Luminaria,5C-CF-7F-06-E6-90,L540,-29.6662348,-51.11639177,Grupo 1,0,HDA-01
000AF58B,Luminaria,5C-CF-7F-0A-F5-8B,L541,-29.68021109,-51.1160914,Grupo 1,0,HDA-01
0006E5EE,Luminaria,5C-CF-7F-06-E5-EE,L542,-29.67789609,-51.11573188,Grupo 1,0,HDA-01
0006E455,Luminaria,5C-CF-7F-06-E4-55,L543,-29.6815848,-51.12158247,Grupo 1,0,HDA-01
0006E556,Luminaria,5C-CF-7F-06-E5-56,L544,-29.68820251,-51.08181331,Grupo 1,0,HDA-01
0006E663,Luminaria,5C-CF-7F-06-E6-63,L545,-29.67464829,-51.13033717,Grupo 1,0,HDA-01
0006E623,Luminaria,5C-CF-7F-06-E6-23,L546,-29.68094286,-51.08519006,Grupo 1,0,HDA-01
000AF5B3,Luminaria,5C-CF-7F-0A-F5-B3,L547,-29.68050757,-51.09078109,Grupo 1,0,HDA-01
0006E57E,Luminaria,5C-CF-7F-06-E5-7E,L548,-29.67385785,-51.11220831,Grupo 1,0,HDA-01
0006E62C,Luminaria,5C-CF-7F-06-E6-2C,L549,-29.6836204,-51.15254333,Grupo 1,0,HDA-01
0006E567,Luminaria,5C-CF-7F-06-E5-67,L550,-29.68423589,-51.12439793,Grupo 1,0,HDA-01
0006E4B4,Luminaria,5C-CF-7F-06-E4-B4,L551,-29.67849542,-51.13256351,Grupo 1,0,HDA-01
000AF4B4,Luminaria,5C-CF-7F-0A-F4-B4,L552,-29.68209778,-51.12647558,Grupo 1,0,HDA-01
0006E688,Luminaria,5C-CF-7F-06-E6-88,L553,-29.67226654,-51.11390873,Grupo 1,0,HDA-01
009E7FC8,Luminaria,18-FE-34-9E-7F-C8,L039,-29.66802314,-51.10021101,Grupo 1,0,HDA-01
0006E641,Luminaria,5C-CF-7F-06-E6-41,L040,-29.67607656,-51.09642086,Grupo 1,0,HDA-01
